"Year","ProjectFolder","FileName","Extension","Category","FullPath","SizeKB","LastModified","CVG_TypeCode","ProjectSlug","PublishPriority","CRS_EPSG","GPKG_Ready","GeoServerLayer","Notes"
"2023","2303 DTorres","2301 East Retta Environmental Assessment.aprx",".aprx","arcgis_project","Z:\2023\2303 DTorres\2301 East Retta Environmental Assessment\2301 East Retta Environmental Assessment.aprx","18.9","2023-02-07","unknown","","","","no","",""
"2023","2304 JBurkhardt","CG2304 Opsrey Circle.aprx",".aprx","arcgis_project","Z:\2023\2304 JBurkhardt\CG2304 Opsrey Circle\CG2304 Opsrey Circle.aprx","627.9","2023-03-20","unknown","","","","no","",""
"2023","2306 SMcIntosh","1808 9th Ave Tree Replianting.aprx",".aprx","arcgis_project","Z:\2023\2306 SMcIntosh\1808 9th Ave Tree Replianting\1808 9th Ave Tree Replianting.aprx","492.7","2023-03-06","treesurvey","","","","no","",""
"2023","2308 SWoolley","Tomahawk Trail Wetland Delineation.aprx",".aprx","arcgis_project","Z:\2023\2308 SWoolley\Tomahawk Trail Wetland Delineation\Tomahawk Trail Wetland Delineation.aprx","626","2023-04-03","wetland","","","","no","",""
"2023","2310 CHaas","Damascus Rd Wetland Delineation.aprx",".aprx","arcgis_project","Z:\2023\2310 CHaas\A_Damascus Rd WD\Damascus Rd Wetland Delineation.aprx","44.5","2023-06-05","wetland","","","","no","",""
"2023","2311 Arcadis","380VAResults_ArcGISOnlinePrep.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\380VAResults_ArcGISOnlinePrep\380VAResults_ArcGISOnlinePrep.aprx","23.6","2024-09-29","unknown","","","","no","",""
"2023","2311 Arcadis","380 FtLauderdale Critical Com Em.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\4_Baseline Layout\0_Baseline APRX\380 FtLauderdale Critical Com Em.aprx","1130","2024-08-31","unknown","","","","no","",""
"2023","2311 Arcadis","380 FtLauderdale Critical Infrastructure.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\4_Baseline Layout\0_Baseline APRX\380 FtLauderdale Critical Infrastructure.aprx","1122.3","2024-08-27","unknown","","","","no","",""
"2023","2311 Arcadis","380 FtLauderdale Natural and Cultural.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\4_Baseline Layout\0_Baseline APRX\380 FtLauderdale Natural and Cultural.aprx","1120.8","2024-08-27","unknown","","","","no","",""
"2023","2311 Arcadis","380 FtLauderdale Transportation.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\4_Baseline Layout\0_Baseline APRX\380 FtLauderdale Transportation.aprx","990.3","2024-08-27","unknown","","","","no","",""
"2023","2311 Arcadis","FtLauderdale Elevation.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\4_Baseline Layout\0_Baseline APRX\FtLauderdale Elevation.aprx","1632","2024-09-20","unknown","","","","no","",""
"2023","2311 Arcadis","FtLauderdale INDEX.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\4_Baseline Layout\0_Baseline APRX\FtLauderdale INDEX.aprx","1579.5","2023-07-21","unknown","","","","no","",""
"2023","2311 Arcadis","FtLauderdale Risk Assessment.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\4_Baseline Layout\0_Baseline APRX\FtLauderdale Risk Assessment.aprx","1615.2","2023-08-21","vuln","","","","no","",""
"2023","2311 Arcadis","FtLauderdale SLAMM.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\4_Baseline Layout\0_Baseline APRX\FtLauderdale SLAMM.aprx","1587.8","2023-07-21","unknown","","","","no","",""
"2023","2311 Arcadis","FtLauderdale Social Vulnerability.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\4_Baseline Layout\0_Baseline APRX\FtLauderdale Social Vulnerability.aprx","1587.7","2023-07-21","vuln","","","","no","",""
"2023","2311 Arcadis","FtLauderdale Supplemental.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\4_Baseline Layout\0_Baseline APRX\FtLauderdale Supplemental.aprx","1633.4","2023-08-21","unknown","","","","no","",""
"2023","2311 Arcadis","Ft Lauderdale Elevation Map.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\4_Baseline Layout\0_Baseline APRX\Ft Lauderdale Elevation Map\Ft Lauderdale Elevation Map.aprx","1086.5","2023-09-07","unknown","","","","no","",""
"2023","2311 Arcadis","Tidal Flood Days.aprx",".aprx","arcgis_project","Z:\2023\2311 Arcadis\A_Fort Lauderdale\5_Flood Projection\0_Inundation & FEMA APRX\Tidal Flood Days\Tidal Flood Days.aprx","1893.4","2024-09-23","slr","","","","no","",""
