"Year","ProjectFolder","FileName","Extension","Category","FullPath","SizeKB","LastModified","CVG_TypeCode","ProjectSlug","PublishPriority","CRS_EPSG","GPKG_Ready","GeoServerLayer","Notes"
"2024","2401 GFelix","CG2401 Statistical Tree Survey.aprx",".aprx","arcgis_project","Z:\2024\2401 GFelix\Aprx\CG2401 Statistical Tree Survey\CG2401 Statistical Tree Survey.aprx","502.2","2024-06-20","treesurvey","","","","no","",""
"2024","2402 RLanda","CG2402 Wetland.aprx",".aprx","arcgis_project","Z:\2024\2402 RLanda\Aprx\CG2402 Wetland.aprx","692.5","2024-10-04","wetland","","","","no","",""
"2024","2402 RLanda","CG2402 Wetland Delineation.aprx",".aprx","arcgis_project","Z:\2024\2402 RLanda\Aprx\CG2402 Wetland Delineation\CG2402 Wetland Delineation.aprx","111.9","2024-07-02","wetland","","","","no","",""
"2024","2413 CMurphy","DeLand Tree Survey and Wetland Delineation.aprx",".aprx","arcgis_project","Z:\2024\2413 CMurphy\Aprx\DeLand Tree Survey and Wetland Delineation\DeLand Tree Survey and Wetland Delineation.aprx","35.3","2024-11-08","wetland","","","","no","",""
