"Year","ProjectFolder","FileName","Extension","Category","FullPath","SizeKB","LastModified","CVG_TypeCode","ProjectSlug","PublishPriority","CRS_EPSG","GPKG_Ready","GeoServerLayer","Notes"
"2023","2303 DTorres","Parcels.shp",".shp","vector","Z:\2023\2303 DTorres\2301 East Retta Environmental Assessment\GIS Data\Parcels (2)\Parcels.shp","84686.4","2023-02-07","duediligence","","","","no","",""
"2023","2306 SMcIntosh","Parcels.shp",".shp","vector","Z:\2023\2306 SMcIntosh\1808 9th Ave Tree Replianting\GIS Data\Parcels (5)\Parcels.shp","84718.6","2023-02-23","duediligence","","","","no","",""
"2023","2308 SWoolley","Property Boundary.shp",".shp","vector","Z:\2023\2308 SWoolley\GIS Data\Property Boundary.shp","0.8","2023-03-30","unknown","","","","no","",""
"2023","2308 SWoolley","flma_202212.shp",".shp","vector","Z:\2023\2308 SWoolley\GIS Data\flma_202212\flma_202212.shp","83301.4","2023-01-06","unknown","","","","no","",""
"2023","2308 SWoolley","Soil.shp",".shp","vector","Z:\2023\2308 SWoolley\GIS Data\Soil\Soil.shp","42945.5","2023-03-27","unknown","","","","no","",""
"2023","2308 SWoolley","TaxParcels.shp",".shp","vector","Z:\2023\2308 SWoolley\GIS Data\Tax_Parcels\TaxParcels.shp","109995.3","2023-02-16","duediligence","","","","no","",""
"2023","2311 Arcadis","FTL_Shapefile.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\FTL_Shapefile.shp","50.7","2024-09-05","unknown","","","","no","",""
"2023","2311 Arcadis","Hotspots_20240924.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\Hotspots_20240924.shp","27","2024-09-24","unknown","","","","no","",""
"2023","2311 Arcadis","Hot Spot Areas_FTL_toArcadis.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2024 0909 Hot Spot Boundary\Hot Spot Areas_FTL_toArcadis.shp","27","2024-09-09","unknown","","","","no","",""
"2023","2311 Arcadis","AllPlacesOfWorship.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\All_Places_Of_Worship\AllPlacesOfWorship.shp","6965.7","2021-05-26","unknown","","","","no","",""
"2023","2311 Arcadis","American_Red_Cross_Headquarters.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\American_Red_Cross_Headquarters\American_Red_Cross_Headquarters.shp","6.5","2023-01-12","unknown","","","","no","",""
"2023","2311 Arcadis","Aviation_Facilities_.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Aviation_Facilities_\Aviation_Facilities_.shp","545.3","2023-01-06","unknown","","","","no","",""
"2023","2311 Arcadis","BRS_EBS.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Broadband_Radio_Service_(BRS)_and_Educational_Broadband_Service_(EBS)__Transmitters\BRS_EBS.shp","274.5","2022-06-29","unknown","","","","no","",""
"2023","2311 Arcadis","CellularTowers.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\CellularTowers\CellularTowers.shp","1294.2","2023-04-05","unknown","","","","no","",""
"2023","2311 Arcadis","Child_Care_Centers.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Child_Care_Centers\Child_Care_Centers.shp","3615.4","2022-12-13","unknown","","","","no","",""
"2023","2311 Arcadis","CollegesUniversities.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Colleges_and_Universities\CollegesUniversities.shp","179.4","2022-12-09","unknown","","","","no","",""
"2023","2311 Arcadis","CollegeUniversityCampuses.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Colleges_and_Universities_Campuses\CollegeUniversityCampuses.shp","1866.4","2022-12-11","unknown","","","","no","",""
"2023","2311 Arcadis","Convention_Centers_Fairgrounds.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Convention_Centers_Fairgrounds\Convention_Centers_Fairgrounds.shp","0.6","2023-01-11","unknown","","","","no","",""
"2023","2311 Arcadis","Courthouses.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Courthouses\Courthouses.shp","101.8","2022-07-18","unknown","","","","no","",""
"2023","2311 Arcadis","Department_of_Defense_(DoD)_Sites__Boundaries__Public.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Department_of_Defense_(DoD)_Sites__Boundaries__Public\Department_of_Defense_(DoD)_Sites__Boundaries__Public.shp","11654.1","2022-03-10","unknown","","","","no","",""
"2023","2311 Arcadis","Department_of_Defense_(DoD)_Sites__Points_(Public).shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Department_of_Defense_(DoD)_Sites__Points_(Public)\Department_of_Defense_(DoD)_Sites__Points_(Public).shp","21","2022-06-30","unknown","","","","no","",""
"2023","2311 Arcadis","DHL_Facilities.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\DHL_Facilities\DHL_Facilities.shp","658.3","2023-04-06","unknown","","","","no","",""
"2023","2311 Arcadis","Electric__Power_Transmission_Lines.shp",".shp","vector","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Electric__Power_Transmission_Lines\Electric__Power_Transmission_Lines.shp","49562.3","2023-02-01","unknown","","","","no","",""
