"Year","ProjectFolder","FileName","Extension","Category","FullPath","SizeKB","LastModified","CVG_TypeCode","ProjectSlug","PublishPriority","CRS_EPSG","GPKG_Ready","GeoServerLayer","Notes"
"2024","2402 RLanda","SKYWATCH_PHR_PS_20221014T1609_ALL_Tile_0_0_f807_metadata.json",".json","vector","Z:\2024\2402 RLanda\Skywatch Photos\SKYWATCH_PHR_PS_20221014T1609_ALL_Tile_0_0_f807_metadata.json","8.3","2024-06-20","unknown","","","","no","",""
"2024","2402 RLanda","OHWL.kml",".kml","vector","Z:\2024\2402 RLanda\Wetland Points\OHWL.kml","9.2","2024-10-04","unknown","","","","no","",""
"2024","2402 RLanda","Wetland Points.kml",".kml","vector","Z:\2024\2402 RLanda\Wetland Points\Wetland Points.kml","8.9","2024-07-01","wetland","","","","no","",""
"2024","2405 RescAlert","firecrawl_request.json",".json","vector","Z:\2024\2405 RescAlert\firecrawl_request.json","0.1","2025-11-13","fire","","","","no","",""
